plan_id,tier_code,tier_slug,age_band_raw,age_start,age_end,age_open_ended,premium_total_raw,premium_total_min,premium_total_max,premium_excl_mshl_raw,premium_excl_mshl_min,premium_excl_mshl_max,annual_change_raw,annual_change_min_pct,annual_change_max_pct,premium_available,availability_note,source_kind,source_pdf,source_page,source_table,source_slug,repair_flags
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,81 to 83,81,83.0,False,"2,524",2524.0,2524.0,818,818.0,818.0,4.4%,4.4,4.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,81 to 83,81,83.0,False,"2,885",2885.0,2885.0,"1,179",1179.0,1179.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,84 to 85,84,85.0,False,"2,995",2995.0,2995.0,"1,024",1024.0,1024.0,4.5%,4.5,4.5,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,84 to 85,84,85.0,False,"3,197",3197.0,3197.0,"1,225",1225.0,1225.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,86 to 90,86,90.0,False,"3,339 - 3,393",3339.0,3393.0,"1,276 - 1,330",1276.0,1330.0,4.5%,4.5,4.5,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,86 to 90,86,90.0,False,"3,505 - 3,684",3505.0,3684.0,"1,442 - 1,621",1442.0,1621.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,Premiums above age 90,91,,True,"3,529 - 3,991",3529.0,3991.0,"1,436 - 1,898",1436.0,1898.0,1.0% to 4.5%,1.0,4.5,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,Premiums above age 90,91,,True,"3,872 - 4,510",3872.0,4510.0,"1,779 - 2,416",1779.0,2416.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__singlife__singlife_shield_standard_plan,standard,standard_integrated_shield_plans,1 to 20,1,20.0,False,195,195.0,195.0,47,47.0,47.0,-10.5%,-10.5,-10.5,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__hsbc_life__hsbc_life_shield_standard_plan,standard,standard_integrated_shield_plans,1 to 20,1,20.0,False,188,188.0,188.0,41,41.0,41.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__singlife__singlife_shield_standard_plan,standard,standard_integrated_shield_plans,21 to 30,21,30.0,False,306,306.0,306.0,51,51.0,51.0,-8.4%,-8.4,-8.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__hsbc_life__hsbc_life_shield_standard_plan,standard,standard_integrated_shield_plans,21 to 30,21,30.0,False,306,306.0,306.0,51,51.0,51.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__singlife__singlife_shield_standard_plan,standard,standard_integrated_shield_plans,31 to 40,31,40.0,False,469,469.0,469.0,71,71.0,71.0,-6.7%,-6.7,-6.7,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__hsbc_life__hsbc_life_shield_standard_plan,standard,standard_integrated_shield_plans,31 to 40,31,40.0,False,460,460.0,460.0,63,63.0,63.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__singlife__singlife_shield_standard_plan,standard,standard_integrated_shield_plans,41 to 50,41,50.0,False,644 - 672,644.0,672.0,109 - 138,109.0,138.0,-2.8% to 1.2%,-2.8,1.2,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__hsbc_life__hsbc_life_shield_standard_plan,standard,standard_integrated_shield_plans,41 to 50,41,50.0,False,644,644.0,644.0,109,109.0,109.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
standard__singlife__singlife_shield_standard_plan,standard,standard_integrated_shield_plans,51 to 60,51,60.0,False,981 - 984,981.0,984.0,166 - 169,166.0,169.0,1.3% to 1.4%,1.3,1.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,5,1,standard_integrated_shield_plans,
